"filename", "language", "Dart", "comment", "blank", "total"
"/Users/lemme/Project-Airframe/Code/airframe_smartwatch_app/lib/ble.dart", "Dart", 57, 4, 14, 75
"/Users/lemme/Project-Airframe/Code/airframe_smartwatch_app/lib/bluetoothconnect.dart", "Dart", 307, 1, 58, 366
"/Users/lemme/Project-Airframe/Code/airframe_smartwatch_app/lib/data.dart", "Dart", 58, 0, 11, 69
"/Users/lemme/Project-Airframe/Code/airframe_smartwatch_app/lib/globals.dart", "Dart", 65, 0, 11, 76
"/Users/lemme/Project-Airframe/Code/airframe_smartwatch_app/lib/main.dart", "Dart", 6386, 43, 295, 6724
"/Users/lemme/Project-Airframe/Code/airframe_smartwatch_app/lib/settings.dart", "Dart", 54, 0, 10, 64
"c:/Hardware/Project-Airframe/Code/airframe_smartwatch_app/lib/ble.dart", "Dart", -57, -4, -14, -75
"c:/Hardware/Project-Airframe/Code/airframe_smartwatch_app/lib/bluetoothconnect.dart", "Dart", -307, -1, -58, -366
"c:/Hardware/Project-Airframe/Code/airframe_smartwatch_app/lib/data.dart", "Dart", -58, 0, -11, -69
"c:/Hardware/Project-Airframe/Code/airframe_smartwatch_app/lib/globals.dart", "Dart", -53, 0, -11, -64
"c:/Hardware/Project-Airframe/Code/airframe_smartwatch_app/lib/main.dart", "Dart", -6307, -42, -267, -6616
"c:/Hardware/Project-Airframe/Code/airframe_smartwatch_app/lib/settings.dart", "Dart", -52, 0, -9, -61
"Total", "-", 93, 1, 29, 123
