Removed Member From Class: ClassName=4_Airframe-NXP_i.MX7_Power Member=U3
Change Component Designator: OldDesignator=U3 NewDesignator=U1
Added Pin To Net: NetName=D+ Pin=U1-A7
Added Pin To Net: NetName=+1V35 Pin=U1-A20
Added Pin To Net: NetName=NetC126_1 Pin=U1-AA10
Added Pin To Net: NetName=+1V8 Pin=U1-AA19
Added Pin To Net: NetName=JTAG MOD Pin=U1-AB1
Added Pin To Net: NetName=JTAG TRST Pin=U1-AB2
Added Pin To Net: NetName=NetC105_2 Pin=U1-AB11
Added Pin To Net: NetName=JTAG TDI Pin=U1-AC2
Added Pin To Net: NetName=+1V8 Pin=U1-AC13
Added Pin To Net: NetName=+1V8 Pin=U1-AC19
Added Pin To Net: NetName=JTAG TCK Pin=U1-AD1
Added Pin To Net: NetName=JTAG TMS Pin=U1-AD2
Added Pin To Net: NetName=JTAG TDO Pin=U1-AE1
Added Pin To Net: NetName=+1V8 Pin=U1-AE12
Added Pin To Net: NetName=+1V8 Pin=U1-AF4
Added Pin To Net: NetName=NetR43_1 Pin=U1-AF7
Added Pin To Net: NetName=+1V8 Pin=U1-AF12
Added Pin To Net: NetName=+1V8 Pin=U1-AF17
Added Pin To Net: NetName=+1V8 Pin=U1-AF18
Added Pin To Net: NetName=+1V8 Pin=U1-AF19
Added Pin To Net: NetName=NetU1_AG1 Pin=U1-AG1
Added Pin To Net: NetName=NetC127_2 Pin=U1-AG2
Added Pin To Net: NetName=+1V8 Pin=U1-AG3
Added Pin To Net: NetName=+1V8 Pin=U1-AG4
Added Pin To Net: NetName=+1V8 Pin=U1-AG5
Added Pin To Net: NetName=NetC82_1 Pin=U1-AG6
Added Pin To Net: NetName=NetC75_2 Pin=U1-AG7
Added Pin To Net: NetName=NetC129_2 Pin=U1-AG9
Added Pin To Net: NetName=+1V8 Pin=U1-AG18
Added Pin To Net: NetName=+1V8 Pin=U1-AH2
Added Pin To Net: NetName=+1V8 Pin=U1-AH4
Added Pin To Net: NetName=+1V8 Pin=U1-AH5
Added Pin To Net: NetName=NetC110_1 Pin=U1-AH7
Added Pin To Net: NetName=NetC130_2 Pin=U1-AH9
Added Pin To Net: NetName=+1V8 Pin=U1-AH18
Added Pin To Net: NetName=NetR44_1 Pin=U1-B6
Added Pin To Net: NetName=D- Pin=U1-B7
Added Pin To Net: NetName=CTR Pin=U1-B9
Added Pin To Net: NetName=+1V35 Pin=U1-B20
Added Pin To Net: NetName=NetR45_1 Pin=U1-C8
Added Pin To Net: NetName=NetC125_1 Pin=U1-C9
Added Pin To Net: NetName=+1V35 Pin=U1-C16
Added Pin To Net: NetName=+1V35 Pin=U1-C17
Added Pin To Net: NetName=+1V35 Pin=U1-C18
Added Pin To Net: NetName=+1V35 Pin=U1-C19
Added Pin To Net: NetName=+1V35 Pin=U1-C20
Added Pin To Net: NetName=+1V35 Pin=U1-C21
Added Pin To Net: NetName=+1V35 Pin=U1-C22
Added Pin To Net: NetName=+VS Pin=U1-D9
Added Pin To Net: NetName=+VS Pin=U1-D11
Added Pin To Net: NetName=NetC97_1 Pin=U1-E9
Added Pin To Net: NetName=NetC102_1 Pin=U1-F9
Added Pin To Net: NetName=+1V35 Pin=U1-F19
Added Pin To Net: NetName=PVCC SAI SD CAP Pin=U1-G16
Added Pin To Net: NetName=+1V35 Pin=U1-H10
Added Pin To Net: NetName=+1V35 Pin=U1-H19
Added Pin To Net: NetName=+1V35 Pin=U1-J9
Added Pin To Net: NetName=+VS Pin=U1-J11
Added Pin To Net: NetName=+VS Pin=U1-J13
Added Pin To Net: NetName=PVCC SAI SD CAP Pin=U1-J14
Added Pin To Net: NetName=+1V8 Pin=U1-J15
Added Pin To Net: NetName=NetC89_2 Pin=U1-J16
Added Pin To Net: NetName=+VS Pin=U1-J18
Added Pin To Net: NetName=+1V35 Pin=U1-J20
Added Pin To Net: NetName=+1V35 Pin=U1-K3
Added Pin To Net: NetName=+1V35 Pin=U1-K6
Added Pin To Net: NetName=+1V35 Pin=U1-K8
Added Pin To Net: NetName=+1V35 Pin=U1-K21
Added Pin To Net: NetName=+1V35 Pin=U1-K23
Added Pin To Net: NetName=+1V35 Pin=U1-K26
Added Pin To Net: NetName=+1V35 Pin=U1-L1
Added Pin To Net: NetName=+1V35 Pin=U1-L2
Added Pin To Net: NetName=+VS Pin=U1-L9
Added Pin To Net: NetName=+1V35 Pin=U1-L11
Added Pin To Net: NetName=+1V35 Pin=U1-L18
Added Pin To Net: NetName=+VS Pin=U1-L20
Added Pin To Net: NetName=+1V35 Pin=U1-L27
Added Pin To Net: NetName=+1V35 Pin=U1-L28
Added Pin To Net: NetName=+VS Pin=U1-N9
Added Pin To Net: NetName=+1V35 Pin=U1-N13
Added Pin To Net: NetName=+1V35 Pin=U1-N16
Added Pin To Net: NetName=+VS Pin=U1-N20
Added Pin To Net: NetName=+1V35 Pin=U1-P3
Added Pin To Net: NetName=+1V35 Pin=U1-P6
Added Pin To Net: NetName=+VS Pin=U1-P9
Added Pin To Net: NetName=+VS Pin=U1-P20
Added Pin To Net: NetName=+1V35 Pin=U1-P23
Added Pin To Net: NetName=+1V35 Pin=U1-P26
Added Pin To Net: NetName=+1V35 Pin=U1-R3
Added Pin To Net: NetName=+1V35 Pin=U1-R6
Added Pin To Net: NetName=+VS Pin=U1-R9
Added Pin To Net: NetName=NetC101_2 Pin=U1-R20
Added Pin To Net: NetName=+1V35 Pin=U1-R23
Added Pin To Net: NetName=+1V35 Pin=U1-R26
Added Pin To Net: NetName=+VS Pin=U1-T9
Added Pin To Net: NetName=+1V35 Pin=U1-T13
Added Pin To Net: NetName=+1V35 Pin=U1-T16
Added Pin To Net: NetName=+1V35 Pin=U1-V11
Added Pin To Net: NetName=+1V35 Pin=U1-V18
Added Pin To Net: NetName=+1V8 Pin=U1-V20
Added Pin To Net: NetName=+1V8 Pin=U1-V27
Added Pin To Net: NetName=+1V8 Pin=U1-V28
Added Pin To Net: NetName=NetC106_2 Pin=U1-W8
Added Pin To Net: NetName=+1V8 Pin=U1-W21
Added Pin To Net: NetName=+1V8 Pin=U1-W23
Added Pin To Net: NetName=+1V8 Pin=U1-W26
Added Pin To Net: NetName=+VS Pin=U1-Y9
Added Pin To Net: NetName=+VS Pin=U1-Y11
Added Pin To Net: NetName=+VS Pin=U1-Y13
Added Pin To Net: NetName=+1V8 Pin=U1-Y14
Added Pin To Net: NetName=+1V8 Pin=U1-Y20
Added Member To Class: ClassName=4_Airframe-NXP_i.MX7_Power Member=Component U1 MCIMX7D3EVK10SD
